var,rel.inf
Economic_Activity,75.54909707249786
Age,12.88427040878962
Approximated_Social_Grade,5.467786742476812
Marital_Status,1.7345399886855057
Family_Composition,1.2096380573971313
Industry,0.9639854793489968
Region,0.7133905578721121
Religion,0.6703280075832515
Residence_Type,0.23967869372233794
Hours_worked_per_week,0.19645795177054007
Ethnic_Group,0.15148772211100642
Country_of_Birth,0.09961396993730268
Sex,0.07002052511026127
Population_Base,0.032278573172857886
Student,0.017426249524405402
